sensor_temp_c,time_utc,channel,par_uV,logger,par_umolm2s,structure
35.25,2023-08-10 10:10:00,1,30656,1,153.28,1
35.25,2023-08-10 10:10:00,2,23593,1,117.965,1
35.25,2023-08-10 10:10:00,3,25093,1,125.465,1
35.25,2023-08-10 10:10:00,4,313656,1,1568.28,1
35.25,2023-08-10 10:10:00,5,20968,1,104.84,1
35.25,2023-08-10 10:10:00,6,19875,1,99.375,1
35.25,2023-08-10 10:10:00,7,24187,1,120.935,1
35.25,2023-08-10 10:10:00,8,23593,1,117.965,1
35.25,2023-08-10 10:10:00,9,17281,1,86.405,1
35.25,2023-08-10 10:10:00,10,19781,1,98.905,1
35.25,2023-08-10 10:10:00,11,18531,1,92.655,1
35.25,2023-08-10 10:10:00,12,20437,1,102.185,1
35.25,2023-08-10 10:11:00,1,36312,1,181.56,1
35.25,2023-08-10 10:11:00,2,23593,1,117.965,1
35.25,2023-08-10 10:11:00,3,25375,1,126.875,1
35.25,2023-08-10 10:11:00,4,313406,1,1567.03,1
35.25,2023-08-10 10:11:00,5,21343,1,106.715,1
35.25,2023-08-10 10:11:00,6,19875,1,99.375,1
35.25,2023-08-10 10:11:00,7,21031,1,105.155,1
35.25,2023-08-10 10:11:00,8,25062,1,125.31,1
35.25,2023-08-10 10:11:00,9,17250,1,86.25,1
35.25,2023-08-10 10:11:00,10,30656,1,153.28,1
35.25,2023-08-10 10:11:00,11,18562,1,92.81,1
35.25,2023-08-10 10:11:00,12,20468,1,102.34,1
35.25,2023-08-10 10:12:00,1,28406,1,142.03,1
35.25,2023-08-10 10:12:00,2,23625,1,118.125,1
35.25,2023-08-10 10:12:00,3,24968,1,124.84,1
35.25,2023-08-10 10:12:00,4,314156,1,1570.78,1
35.25,2023-08-10 10:12:00,5,21093,1,105.465,1
35.25,2023-08-10 10:12:00,6,19906,1,99.53,1
35.25,2023-08-10 10:12:00,7,21031,1,105.155,1
35.25,2023-08-10 10:12:00,8,23593,1,117.965,1
35.25,2023-08-10 10:12:00,9,17281,1,86.405,1
35.25,2023-08-10 10:12:00,10,27031,1,135.155,1
35.25,2023-08-10 10:12:00,11,18781,1,93.905,1
35.25,2023-08-10 10:12:00,12,20468,1,102.34,1
35.25,2023-08-10 10:13:00,1,60187,1,300.935,1
35.25,2023-08-10 10:13:00,2,23625,1,118.125,1
35.25,2023-08-10 10:13:00,3,25093,1,125.465,1
35.25,2023-08-10 10:13:00,4,314437,1,1572.185,1
35.25,2023-08-10 10:13:00,5,21218,1,106.09,1
35.25,2023-08-10 10:13:00,6,19906,1,99.53,1
35.25,2023-08-10 10:13:00,7,21000,1,105,1
35.25,2023-08-10 10:13:00,8,31312,1,156.56,1
35.25,2023-08-10 10:13:00,9,17312,1,86.56,1
35.25,2023-08-10 10:13:00,10,27343,1,136.715,1
35.25,2023-08-10 10:13:00,11,73562,1,367.81,1
35.25,2023-08-10 10:13:00,12,20625,1,103.125,1
35.25,2023-08-10 10:14:00,1,133781,1,668.905,1
35.25,2023-08-10 10:14:00,2,23593,1,117.965,1
35.25,2023-08-10 10:14:00,3,24968,1,124.84,1
35.25,2023-08-10 10:14:00,4,314968,1,1574.84,1
35.25,2023-08-10 10:14:00,5,20937,1,104.685,1
35.25,2023-08-10 10:14:00,6,19875,1,99.375,1
35.25,2023-08-10 10:14:00,7,20937,1,104.685,1
35.25,2023-08-10 10:14:00,8,32875,1,164.375,1
35.25,2023-08-10 10:14:00,9,17312,1,86.56,1
35.25,2023-08-10 10:14:00,10,26687,1,133.435,1
35.25,2023-08-10 10:14:00,11,63281,1,316.405,1
35.25,2023-08-10 10:14:00,12,51468,1,257.34,1
35.25,2023-08-10 10:15:00,1,70437,1,352.185,1
35.25,2023-08-10 10:15:00,2,23625,1,118.125,1
35.25,2023-08-10 10:15:00,3,24937,1,124.685,1
35.25,2023-08-10 10:15:00,4,314750,1,1573.75,1
35.25,2023-08-10 10:15:00,5,20937,1,104.685,1
35.25,2023-08-10 10:15:00,6,19875,1,99.375,1
35.25,2023-08-10 10:15:00,7,20937,1,104.685,1
35.25,2023-08-10 10:15:00,8,23343,1,116.715,1
35.25,2023-08-10 10:15:00,9,17406,1,87.03,1
35.25,2023-08-10 10:15:00,10,37718,1,188.59,1
35.25,2023-08-10 10:15:00,11,89968,1,449.84,1
35.25,2023-08-10 10:15:00,12,176125,1,880.625,1
35.25,2023-08-10 10:16:00,1,28625,1,143.125,1
35.25,2023-08-10 10:16:00,2,23593,1,117.965,1
35.25,2023-08-10 10:16:00,3,24875,1,124.375,1
35.25,2023-08-10 10:16:00,4,315625,1,1578.125,1
35.25,2023-08-10 10:16:00,5,20937,1,104.685,1
35.25,2023-08-10 10:16:00,6,19875,1,99.375,1
35.25,2023-08-10 10:16:00,7,20906,1,104.53,1
35.25,2023-08-10 10:16:00,8,23312,1,116.56,1
35.25,2023-08-10 10:16:00,9,17531,1,87.655,1
35.25,2023-08-10 10:16:00,10,63062,1,315.31,1
35.25,2023-08-10 10:16:00,11,137531,1,687.655,1
35.25,2023-08-10 10:16:00,12,192406,1,962.03,1
35.5,2023-08-10 10:17:00,1,40562,1,202.81,1
35.5,2023-08-10 10:17:00,2,23562,1,117.81,1
35.5,2023-08-10 10:17:00,3,25156,1,125.78,1
35.5,2023-08-10 10:17:00,4,314406,1,1572.03,1
35.5,2023-08-10 10:17:00,5,20906,1,104.53,1
35.5,2023-08-10 10:17:00,6,19875,1,99.375,1
35.5,2023-08-10 10:17:00,7,20906,1,104.53,1
35.5,2023-08-10 10:17:00,8,23312,1,116.56,1
35.5,2023-08-10 10:17:00,9,17375,1,86.875,1
35.5,2023-08-10 10:17:00,10,42031,1,210.155,1
35.5,2023-08-10 10:17:00,11,233812,1,1169.06,1
35.5,2023-08-10 10:17:00,12,137531,1,687.655,1
35.5,2023-08-10 10:18:00,1,40062,1,200.31,1
35.5,2023-08-10 10:18:00,2,23562,1,117.81,1
35.5,2023-08-10 10:18:00,3,24812,1,124.06,1
35.5,2023-08-10 10:18:00,4,316250,1,1581.25,1
35.5,2023-08-10 10:18:00,5,20875,1,104.375,1
35.5,2023-08-10 10:18:00,6,19843,1,99.215,1
35.5,2023-08-10 10:18:00,7,20875,1,104.375,1
35.5,2023-08-10 10:18:00,8,38312,1,191.56,1
35.5,2023-08-10 10:18:00,9,17343,1,86.715,1
35.5,2023-08-10 10:18:00,10,16937,1,84.685,1
35.5,2023-08-10 10:18:00,11,308656,1,1543.28,1
35.5,2023-08-10 10:18:00,12,74625,1,373.125,1
35.5,2023-08-10 10:19:00,1,33218,1,166.09,1
35.5,2023-08-10 10:19:00,2,23562,1,117.81,1
35.5,2023-08-10 10:19:00,3,24750,1,123.75,1
35.5,2023-08-10 10:19:00,4,317125,1,1585.625,1
35.5,2023-08-10 10:19:00,5,20843,1,104.215,1
35.5,2023-08-10 10:19:00,6,19812,1,99.06,1
35.5,2023-08-10 10:19:00,7,40968,1,204.84,1
35.5,2023-08-10 10:19:00,8,64812,1,324.06,1
35.5,2023-08-10 10:19:00,9,17312,1,86.56,1
35.5,2023-08-10 10:19:00,10,29687,1,148.435,1
35.5,2023-08-10 10:19:00,11,298968,1,1494.84,1
35.5,2023-08-10 10:19:00,12,38156,1,190.78,1
35.5,2023-08-10 10:20:00,1,24625,1,123.125,1
35.5,2023-08-10 10:20:00,2,24343,1,121.715,1
35.5,2023-08-10 10:20:00,3,24687,1,123.435,1
35.5,2023-08-10 10:20:00,4,312750,1,1563.75,1
35.5,2023-08-10 10:20:00,5,20812,1,104.06,1
35.5,2023-08-10 10:20:00,6,19031,1,95.155,1
35.5,2023-08-10 10:20:00,7,43343,1,216.715,1
35.5,2023-08-10 10:20:00,8,163281,1,816.405,1
35.5,2023-08-10 10:20:00,9,17281,1,86.405,1
35.5,2023-08-10 10:20:00,10,80375,1,401.875,1
35.5,2023-08-10 10:20:00,11,307968,1,1539.84,1
35.5,2023-08-10 10:20:00,12,152906,1,764.53,1
35.5,2023-08-10 10:21:00,1,24500,1,122.5,1
35.5,2023-08-10 10:21:00,2,25281,1,126.405,1
35.5,2023-08-10 10:21:00,3,24656,1,123.28,1
35.5,2023-08-10 10:21:00,4,184750,1,923.75,1
35.5,2023-08-10 10:21:00,5,20812,1,104.06,1
35.5,2023-08-10 10:21:00,6,19218,1,96.09,1
35.5,2023-08-10 10:21:00,7,22281,1,111.405,1
35.5,2023-08-10 10:21:00,8,200625,1,1003.125,1
35.5,2023-08-10 10:21:00,9,17281,1,86.405,1
35.5,2023-08-10 10:21:00,10,52687,1,263.435,1
35.5,2023-08-10 10:21:00,11,310656,1,1553.28,1
35.5,2023-08-10 10:21:00,12,75343,1,376.715,1
35.5,2023-08-10 10:22:00,1,24500,1,122.5,1
35.5,2023-08-10 10:22:00,2,90250,1,451.25,1
35.5,2023-08-10 10:22:00,3,24656,1,123.28,1
35.5,2023-08-10 10:22:00,4,30218,1,151.09,1
35.5,2023-08-10 10:22:00,5,20843,1,104.215,1
35.5,2023-08-10 10:22:00,6,19156,1,95.78,1
35.5,2023-08-10 10:22:00,7,20718,1,103.59,1
35.5,2023-08-10 10:22:00,8,103093,1,515.465,1
35.5,2023-08-10 10:22:00,9,17312,1,86.56,1
35.5,2023-08-10 10:22:00,10,21343,1,106.715,1
35.5,2023-08-10 10:22:00,11,311218,1,1556.09,1
35.5,2023-08-10 10:22:00,12,24718,1,123.59,1
35.5,2023-08-10 10:23:00,1,24468,1,122.34,1
35.5,2023-08-10 10:23:00,2,128000,1,640,1
35.5,2023-08-10 10:23:00,3,24625,1,123.125,1
35.5,2023-08-10 10:23:00,4,27000,1,135,1
35.5,2023-08-10 10:23:00,5,21375,1,106.875,1
35.5,2023-08-10 10:23:00,6,19156,1,95.78,1
35.5,2023-08-10 10:23:00,7,20718,1,103.59,1
35.5,2023-08-10 10:23:00,8,122406,1,612.03,1
35.5,2023-08-10 10:23:00,9,17281,1,86.405,1
35.5,2023-08-10 10:23:00,10,17437,1,87.185,1
35.5,2023-08-10 10:23:00,11,311468,1,1557.34,1
35.5,2023-08-10 10:23:00,12,26375,1,131.875,1
35.5,2023-08-10 10:24:00,1,24468,1,122.34,1
35.5,2023-08-10 10:24:00,2,177281,1,886.405,1
35.5,2023-08-10 10:24:00,3,24625,1,123.125,1
35.5,2023-08-10 10:24:00,4,35656,1,178.28,1
35.5,2023-08-10 10:24:00,5,21406,1,107.03,1
35.5,2023-08-10 10:24:00,6,19156,1,95.78,1
35.5,2023-08-10 10:24:00,7,20687,1,103.435,1
35.5,2023-08-10 10:24:00,8,154218,1,771.09,1
35.5,2023-08-10 10:24:00,9,17281,1,86.405,1
35.5,2023-08-10 10:24:00,10,17218,1,86.09,1
35.5,2023-08-10 10:24:00,11,310406,1,1552.03,1
35.5,2023-08-10 10:24:00,12,128625,1,643.125,1
35.5,2023-08-10 10:25:00,1,24437,1,122.185,1
35.5,2023-08-10 10:25:00,2,79906,1,399.53,1
35.5,2023-08-10 10:25:00,3,24593,1,122.965,1
35.5,2023-08-10 10:25:00,4,48375,1,241.875,1
35.5,2023-08-10 10:25:00,5,20843,1,104.215,1
35.5,2023-08-10 10:25:00,6,19281,1,96.405,1
35.5,2023-08-10 10:25:00,7,20687,1,103.435,1
35.5,2023-08-10 10:25:00,8,104843,1,524.215,1
35.5,2023-08-10 10:25:00,9,17281,1,86.405,1
35.5,2023-08-10 10:25:00,10,17406,1,87.03,1
35.5,2023-08-10 10:25:00,11,274562,1,1372.81,1
35.5,2023-08-10 10:25:00,12,282250,1,1411.25,1
35.5,2023-08-10 10:26:00,1,24468,1,122.34,1
35.5,2023-08-10 10:26:00,2,86906,1,434.53,1
35.5,2023-08-10 10:26:00,3,24562,1,122.81,1
35.5,2023-08-10 10:26:00,4,39875,1,199.375,1
35.5,2023-08-10 10:26:00,5,20843,1,104.215,1
35.5,2023-08-10 10:26:00,6,19750,1,98.75,1
35.5,2023-08-10 10:26:00,7,20656,1,103.28,1
35.5,2023-08-10 10:26:00,8,25812,1,129.06,1
35.5,2023-08-10 10:26:00,9,17312,1,86.56,1
35.5,2023-08-10 10:26:00,10,19593,1,97.965,1
35.5,2023-08-10 10:26:00,11,200906,1,1004.53,1
35.5,2023-08-10 10:26:00,12,305937,1,1529.685,1
35.5,2023-08-10 10:27:00,1,24468,1,122.34,1
35.5,2023-08-10 10:27:00,2,58468,1,292.34,1
35.5,2023-08-10 10:27:00,3,24562,1,122.81,1
35.5,2023-08-10 10:27:00,4,31343,1,156.715,1
35.5,2023-08-10 10:27:00,5,20250,1,101.25,1
35.5,2023-08-10 10:27:00,6,19656,1,98.28,1
35.5,2023-08-10 10:27:00,7,20625,1,103.125,1
